name,points,division,age,w_l_d,stance,residence,rank,stars,last6,last5,last4,last3,last2,last1,lagged
Jack Massey,2.663,cruiser,27,17 1 0,orthodox,"Chapel-en-le-Frith, United Kingdom",1689,2,W,W,W,W,L,W,1688
James Kirkland*,2.662,middle,36,34 2 0,southpaw,"San Antonio, USA",1690,2,W,W,W,L,W,W,1689
Troy O'Meley,2.661,super welter,27,11 1 0,orthodox,Australia,1691,2,W,W,W,W,W,L,1690
Max Ornelas,2.661,bantam,22,13 0 1,orthodox,"Las Vegas, USA",1692,2,D,W,W,W,W,W,1691
Huseyin Cinkara,2.659,cruiser,35,14 0 0,,"Schifferstadt, Germany",1693,2,W,W,W,W,W,W,1692
Maidel Sando,2.655,super middle,31,10 0 0,orthodox,"Nashville, USA",1694,2,W,W,W,W,W,W,1693
Felix Caraballo,2.653,feather,34,13 3 2,orthodox,"Mayaguez, Puerto Rico",1695,2,W,W,W,W,L,L,1694
Marvin Esquierdo,2.653,light,25,16 2 1,orthodox,"Cagayan de Oro City, Philippines",1696,2,W,W,W,W,W,W,1695
Saul Rodriguez,2.649,light,27,24 1 1,orthodox,"Riverside, USA",1697,2,W,W,W,W,L,W,1696
Rene Mark Cuarto,2.648,minimum,24,18 2 2,orthodox,"Jose Dalman (Ponot), Philippines",1698,2,W,W,L,W,D,W,1697
Jason Canoy,2.648,feather,30,27 10 2,orthodox,"Cebu City, Philippines",1699,2,W,L,W,L,L,L,1698
Artjoms Ramlavs,2.647,super feather,31,13 1 0,southpaw,"Riga, Latvia",1700,2,W,W,W,L,W,W,1699
Kevin Johnson,2.645,welter,28,8 2 0,orthodox,"Las Vegas, USA",1701,2,W,L,W,W,L,W,1700
Leti Leti,2.643,super middle,33,15 1 0,orthodox,"Brisbane, Australia",1702,2,W,W,W,W,W,W,1701
Enrique Collazo,2.642,super middle,32,14 1 1,orthodox,"San Juan, Puerto Rico",1703,2,W,W,L,W,W,W,1702
Daiki Tomita,2.636,light fly,23,15 2 0,orthodox,"Sakai, Japan",1704,2,W,L,W,W,L,W,1703
Francisco Horta,2.632,super bantam,27,20 4 1,orthodox,"Cancun, Mexico",1705,2,W,W,W,W,W,L,1704
Valentyn Golovko,2.631,welter,33,25 2 0,orthodox,"Kharkiv, Ukraine",1706,2,W,NC,L,W,W,W,1705
Vitalii Kopylenko,2.631,middle,36,28 3 0,orthodox,"Oxnard, USA",1707,2,W,W,W,W,L,L,1706
Gyung Mo Yuh,2.627,welter,33,7 6 3,orthodox,"Gwangju City, South Korea",1708,2,W,L,W,W,W,W,1707
Lanell Bellows,2.625,super middle,35,20 6 3,orthodox,"Las Vegas, USA",1709,2,L,D,L,W,W,L,1708
Andriy Rudenko,2.623,heavy,37,33 5 0,orthodox,"Dnipro, Ukraine",1710,2,W,L,W,L,L,W,1709
Stephen Smith,2.622,light,35,28 4 0,orthodox,"Liverpool, United Kingdom",1711,2,L,W,L,W,W,W,1710
Mauro Forte,2.622,feather,26,14 0 1,southpaw,"Roma, Italy",1712,2,W,W,W,W,W,W,1711
Julio Cesar Chavez Jr,2.620,light heavy,34,52 5 1,orthodox,"Culiacan, Mexico",1713,2,W,L,W,L,L,W,1712
Ryusei Kawaura,2.619,super fly,26,8 0 0,southpaw,Japan,1714,2,W,W,W,W,W,W,1713
Artur Akavov,2.616,middle,34,20 3 0,southpaw,"Beverly Hills, USA",1715,2,L,W,W,W,L,W,1714
Sebastian Gomez Sanchez,2.615,fly,28,13 6 0,orthodox,"Teopisca, Mexico",1716,2,L,L,W,L,W,W,1715
Bakhtiyar Eyubov,2.615,welter,34,14 2 1,,"Houston, USA",1717,2,W,NC,W,D,L,L,1716
Abigail Medina,2.614,super bantam,32,20 4 2,orthodox,"Barcelona, Spain",1718,2,W,W,W,W,L,W,1717
Gabriel Pham,2.613,super middle,31,13 2 0,southpaw,"Atlantic City, USA",1719,2,W,W,W,L,W,W,1718
Alexander Villa,2.613,super light,21,18 1 0,,"Guadalajara, Mexico",1720,2,L,W,W,W,W,W,1719
Cristian Gonzalez Hernandez,2.611,fly,21,11 2 0,,"Tultitlán, Mexico",1721,2,L,W,W,W,W,W,1720
Enrique Bernache,2.611,feather,32,24 12 0,orthodox,"Guadalajara, Mexico",1722,2,W,L,W,L,L,NC,1721
Adrian Marcelo Sasso,2.609,super welter,25,15 2 0,southpaw,"Rio Cuarto, Argentina",1723,2,W,W,W,W,W,W,1722
Vince Paras,2.609,fly,22,15 2 0,orthodox,"General Santos City, Philippines",1724,2,W,W,L,L,W,W,1723
Joey Canoy,2.608,minimum,27,16 4 1,southpaw,"Mandaue City, Philippines",1725,2,W,W,NC,W,L,W,1724
Alfredo Meli,2.606,middle,30,17 1 1,southpaw,"Belfast, United Kingdom",1726,2,W,W,W,W,W,L,1725
Eliot Chavez*,2.604,light,25,8 3 1,,"Torreon, Mexico",1727,2,W,W,L,L,W,W,1726
Fabio Mastromarino,2.603,middle,25,8 1 1,orthodox,"Roma, Italy",1728,2,W,W,L,W,D,W,1727
LeShawn Rodriquez,2.601,super welter,27,12 0 0,orthodox,"Shirley, USA",1729,2,W,W,W,W,W,W,1728
Jose Alberto Guzman,2.601,feather,25,21 3 3,orthodox,"Tijuana, Mexico",1730,2,W,W,W,W,W,L,1729
Aleksandr Strecki,2.599,middle,34,11 1 2,southpaw,"Poznan, Poland",1731,2,W,W,W,D,W,W,1730
Luke Watkins,2.598,cruiser,31,14 2 0,orthodox,"Swindon, United Kingdom",1732,2,W,W,W,L,L,W,1731
Patrick Mukala,2.597,super middle,26,11 2 1,orthodox,"Johannesburg, South Africa",1733,2,W,L,W,W,D,L,1732
Andoni Gago,2.596,feather,35,24 3 3,orthodox,"Bilbao, Spain",1734,2,W,W,W,W,W,W,1733
Alex Martin,2.593,welter,31,15 3 0,southpaw,"Calumet City, USA",1735,2,W,L,L,L,W,W,1734
Jesus Cuadro,2.592,light,35,18 7 0,southpaw,"Tijuana, Mexico",1736,2,L,W,L,W,L,L,1735
Karen Arutiunian,2.592,welter,28,7 1 0,southpaw,"Sedavi, Spain",1737,2,W,L,W,W,W,W,1736
Kevin Johnson,2.591,heavy,41,35 17 1,orthodox,"Lawrenceville, USA",1738,2,L,L,L,L,L,W,1737
Francisco De Vaca,2.589,super bantam,25,20 1 0,orthodox,"Phoenix, USA",1739,2,W,W,W,W,W,L,1738
Kazuki Tanaka,2.582,bantam,27,11 3 0,orthodox,"Osaka, Japan",1740,2,W,W,L,W,W,L,1739
Mose Auimatagi Jnr*,2.580,cruiser,25,14 1 2,orthodox,"Auckland, New Zealand",1741,2,W,W,W,W,W,W,1740
Raphael Tronche,2.577,heavy,31,13 0 0,orthodox,"Calais, France",1742,2,W,W,W,W,W,W,1741
Noboru Osato,2.577,feather,25,12 8 4,orthodox,"Osaka, Japan",1743,2,W,W,L,L,W,W,1742
Alfredo Angulo,2.575,super middle,38,26 8 0,orthodox,"Coachella, USA",1744,2,W,L,L,W,W,L,1743
Gino Kanters,2.572,middle,24,8 3 2,orthodox,"Purmerend, Netherlands",1745,2,D,W,W,L,W,D,1744
Ivan Soriano,2.571,light fly,32,20 4 1,orthodox,"Quezon City, Philippines",1746,2,W,L,W,W,L,L,1745
Daniel Argueta,2.563,super fly,,13 2 0,,Mexico,1747,2,W,W,W,W,L,NC,1746
Rohan Date,2.563,welter,27,12 0 1,orthodox,"Dubai, United Arab Emirates",1748,2,W,W,W,W,W,W,1747
Carlo Caesar Penalosa,2.557,fly,27,14 2 1,southpaw,"San Carlos City, Philippines",1749,2,W,W,W,W,L,D,1748
Jovanni Straffon,2.556,light,27,22 3 1,southpaw,"Torreon, Mexico",1750,2,W,W,W,W,W,W,1749
Hamza Omar,2.556,super middle,,6 0 0,orthodox,Egypt,1751,2,W,W,W,W,W,W,1750
Alan David Picasso,2.554,super bantam,20,13 1 0,,"Mexico City, Mexico",1752,2,W,W,W,W,W,NC,1751
Mauricio Herrera,2.551,welter,40,24 9 0,orthodox,"Riverside, USA",1753,2,L,L,W,W,L,L,1752
Ongen Saknosiwi,2.547,feather,,8 0 0,,"Ambon, Indonesia",1754,2,W,W,W,W,W,W,1753
Michal Chudecki,2.545,super light,34,13 4 2,southpaw,"Poznan, Poland",1755,2,L,D,L,W,W,L,1754
Darren Tetley,2.544,welter,27,20 1 0,southpaw,"Bradford, United Kingdom",1756,2,W,W,W,W,W,L,1755
German Argentino Benitez,2.543,light,29,22 4 0,orthodox,"Garín, Argentina",1757,2,L,W,L,W,L,W,1756
David Zegarra,2.542,super middle,36,34 4 0,orthodox,"Lima, Peru",1758,2,L,W,L,W,W,L,1757
Israel Rodriguez Picazo*,2.540,super bantam,22,19 5 0,orthodox,"Mexico City, Mexico",1759,2,W,L,W,W,W,W,1758
Al Toyogon,2.539,super feather,22,10 6 1,orthodox,"Gingoog City, Philippines",1760,2,W,W,L,L,L,L,1759
Pedro Tut,2.537,super bantam,24,20 1 0,orthodox,"Cancun, Mexico",1761,2,W,W,W,W,W,W,1760
Kamil Bednarek,2.535,super middle,,6 0 0,southpaw,"Dzierzoniow, Poland",1762,2,W,W,W,W,W,W,1761
Estivan Falcao,2.535,super feather,24,10 0 0,orthodox,"Sao Paulo, Brazil",1763,2,W,W,W,W,W,W,1762
Toto Landero*,2.529,light fly,25,11 4 2,orthodox,"Muntinlupa City, Philippines",1764,2,W,W,L,L,L,W,1763
Bienvenido Ligas,2.528,fly,22,12 1 1,orthodox,"Caloocan City, Philippines",1765,2,W,W,W,W,W,W,1764
Sam Goodman,2.527,super bantam,22,7 0 0,orthodox,"Albion Park, Australia",1766,2,W,W,W,W,W,W,1765
Alexander Mejia,2.525,super bantam,29,16 1 0,orthodox,"Managua, Nicaragua",1767,2,W,W,W,W,W,W,1766
Koichi Aso,2.522,super light,34,24 9 1,orthodox,Japan,1768,2,W,W,L,W,L,W,1767
Devin Vargas,2.521,heavy,38,22 7 0,orthodox,"Sylvania, USA",1769,2,W,L,W,L,W,L,1768
Ckari Cani Mansilla,2.516,super bantam,28,15 1 0,orthodox,"Cordoba, Argentina",1770,2,W,W,W,W,W,W,1769
Atchariya Wirojanasunobol,2.514,super light,31,13 1 0,,"Bangkok, Thailand",1771,2,W,W,W,W,W,L,1770
Abram Martinez,2.512,super light,25,8 0 1,orthodox,"Las Vegas, USA",1772,2,W,W,W,W,W,D,1771
Alfredo Mejia Vargas,2.510,feather,28,14 3 3,orthodox,"Ensenada, Mexico",1773,2,W,W,L,W,W,L,1772
Kamshybek Kunkabayev*,2.507,cruiser,29,1 0 0,southpaw,"Kyzylorda, Kazakhstan",1774,2,Blank,Blank,Blank,Blank,Blank,W,1773
Gaige Ireland*,2.507,light,27,7 3 3,southpaw,"Melbourne, Australia",1775,2,W,L,W,L,W,D,1774
Victor Efrain Sandoval,2.506,super fly,23,34 3 0,orthodox,"Tijuana, Mexico",1776,2,W,W,W,W,W,W,1775
Derrieck Cuevas,2.506,welter,26,23 1 1,orthodox,"Rio Piedras, Puerto Rico",1777,2,W,W,W,W,W,L,1776
Eduardo Costa Do Nascimento,2.506,super feather,30,6 1 0,orthodox,"Sao Paulo, Brazil",1778,2,L,W,W,W,W,W,1777
Takuma Takahashi,2.500,welter,27,6 0 0,orthodox,Japan,1779,2,W,W,W,W,W,W,1778
Alexis Bastar,2.499,super bantam,28,17 1 1,southpaw,"Cancun, Mexico",1780,2,W,W,W,W,W,W,1779
Vincenzo Bevilacqua,2.499,super welter,27,16 1 0,southpaw,"Roma, Italy",1781,2,W,W,W,W,W,L,1780
Kalvin Henderson*,2.498,cruiser,30,12 0 1,orthodox,"Fayetteville, USA",1782,2,W,W,W,W,W,D,1781
Dynamic Kenji,2.497,super fly,29,11 4 0,orthodox,"Osaka, Japan",1783,2,W,W,W,W,W,L,1782
Ken Jordan,2.495,super fly,23,9 1 2,orthodox,"General Santos City, Philippines",1784,2,W,W,W,D,W,W,1783
Mark Bernaldez,2.494,super feather,26,21 4 0,orthodox,"General Santos City, Philippines",1785,2,W,W,L,W,L,W,1784
Richard Zamora,2.492,super light,27,19 4 0,orthodox,"Matehuala, Mexico",1786,2,W,W,W,W,L,L,1785
Craig Woodruff,2.489,light,28,10 6 0,orthodox,"Newport, United Kingdom",1787,2,W,L,W,W,W,L,1786
Quinton Rankin,2.489,light heavy,34,15 7 2,southpaw,"Charlotte, USA",1788,2,L,W,W,W,L,L,1787
Hussein Muhamed,2.488,heavy,29,16 0 0,,"Cologne, Germany",1789,2,W,W,W,W,W,W,1788
Michal Lesniak,2.485,welter,29,13 1 1,orthodox,"Walbrzych, Poland",1790,2,W,W,W,W,W,W,1789
Araik Marutjan,2.485,middle,28,9 1 0,orthodox,Germany,1791,2,W,W,W,W,L,W,1790
Frank Martin,2.485,light,25,12 0 0,southpaw,"Indianapolis, USA",1792,2,W,W,W,W,W,W,1791
Rafael Pedroza,2.479,super bantam,24,10 0 0,,"El Martillo, Panama",1793,2,W,W,W,W,W,W,1792
Jessy PetitJean,2.478,super light,31,17 0 0,orthodox,"Esneux, Belgium",1794,2,W,W,W,W,W,W,1793
Arnel Tinampay,2.472,super welter,36,26 25 1,orthodox,"Dagohoy, Philippines",1795,2,W,L,L,L,W,L,1794
Juan Carlos Burgos,2.468,light,32,34 4 2,orthodox,"Tijuana, Mexico",1796,2,W,W,W,L,L,W,1795
Ulises Lara,2.465,super fly,31,21 18 2,orthodox,"Mexico City, Mexico",1797,2,L,W,W,W,L,L,1796
Cesar Nunez,2.464,super middle,35,17 2 1,orthodox,"Pamplona, Spain",1798,2,W,W,D,L,L,W,1797
Kenbati Haiyilao*,2.461,welter,24,6 2 1,orthodox,"Beijing, China",1799,2,L,L,W,W,D,W,1798
Shinard Bunch,2.458,welter,21,10 1 0,orthodox,"Trenton, USA",1800,2,W,W,W,W,W,W,1799
Nathan Heaney,2.452,super middle,31,10 0 0,orthodox,"Stoke-on-Trent, United Kingdom",1801,2,W,W,W,W,W,W,1800
Adam Little,2.451,welter,29,19 2 0,orthodox,"Kirkham, United Kingdom",1802,2,L,W,W,L,W,W,1801
Nurtas Azhbenov,2.450,super light,26,10 0 0,southpaw,"Kandyagash, Kazakhstan",1803,2,W,W,W,W,W,W,1802
Branden Pizarro,2.449,super light,21,15 1 1,orthodox,"Philadelphia, USA",1804,2,W,W,W,W,D,W,1803
Manuel Ceballos,2.449,light heavy,27,17 2 0,orthodox,"Merida, Mexico",1805,2,W,W,W,L,W,W,1804
Francisco Ochoa,2.448,super feather,28,16 0 0,orthodox,"Los Angeles, USA",1806,2,W,W,W,W,W,W,1805
Kai Chiba*,2.445,bantam,27,12 1 0,orthodox,"Yokohama, Japan",1807,2,L,W,W,W,W,W,1806
Emmanuel Dominguez,2.444,feather,26,26 9 2,orthodox,"Aguascalientes, Mexico",1808,2,W,W,L,W,W,L,1807
Yangcheng Jin*,2.442,light,32,10 6 2,orthodox,"Guangzhou, China",1809,2,L,W,W,L,L,W,1808
Raphael Igbokwe,2.441,super middle,28,15 2 0,southpaw,"Fresno, USA",1810,2,W,L,L,W,W,W,1809
Victor Morales Jr,2.441,super feather,22,13 0 0,,"Vancouver, USA",1811,2,W,W,W,W,W,W,1810
Christian Araneta,2.439,light fly,25,18 1 0,southpaw,"Cebu City, Philippines",1812,2,W,W,W,W,L,W,1811
Kevin Leonel Acevedo,2.435,super feather,27,20 3 3,orthodox,"Rio Cuarto, Argentina",1813,2,W,W,L,W,D,W,1812
Movladdin Biyarslanov,2.433,super light,25,7 0 0,southpaw,"Toronto, Canada",1814,2,W,W,W,W,W,W,1813
Mark Kassab,2.433,super middle,,11 1 0,orthodox,"Roxburgh Park, Australia",1815,2,W,W,W,W,W,L,1814
Dillon Carman,2.433,heavy,34,14 6 0,orthodox,"Mississauga, Canada",1816,2,L,W,W,L,L,L,1815
Danilo Creati,2.432,super welter,30,6 0 0,orthodox,"Sydney, Australia",1817,2,W,W,W,W,W,W,1816
Georges Ory,2.432,bantam,29,11 3 1,southpaw,"Angers, France",1818,2,L,W,W,W,W,L,1817
Juan Manuel Taborda,2.424,middle,27,15 0 0,,"Villa Maria, Argentina",1819,2,W,W,W,W,W,W,1818
Matt Conway*,2.424,super feather,25,17 2 0,orthodox,"Pittsburgh, USA",1820,2,W,W,W,W,L,L,1819
Joel Lino,2.424,minimum,25,11 3 1,orthodox,"Davao City, Philippines",1821,2,W,W,L,L,L,W,1820
Adam Balski,2.421,cruiser,30,15 0 0,orthodox,"Kalisz, Poland",1822,2,W,W,W,W,W,W,1821
Alfredo Rodolfo Blanco*,2.421,welter,30,21 8 0,orthodox,"Pigue, Argentina",1823,2,W,W,W,W,L,W,1822
Luis Alberto Araujo,2.420,super fly,24,9 0 1,,"Los Mochis, Mexico",1824,2,W,W,W,W,W,W,1823
Ramon Mascarena Jr,2.419,super light,27,12 1 0,orthodox,"Iquique, Chile",1825,2,W,W,W,L,W,W,1824
Oscar Nery Plata,2.418,super fly,,13 2 1,,,1826,2,W,W,L,W,D,W,1825
Erick Bone,2.411,welter,31,24 6 0,orthodox,"Portoviejo, Ecuador",1827,2,W,L,W,W,W,W,1826
Facundo Nicolas Galovar,2.411,middle,26,10 5 2,orthodox,"Madrid, Spain",1828,2,W,W,L,L,L,D,1827
Nathaniel May,2.405,super feather,25,21 3 0,orthodox,"Bunbury, Australia",1829,2,W,W,W,W,L,L,1828
Luther Smith,2.400,cruiser,42,11 5 0,orthodox,"Catonsville, USA",1830,2,L,W,L,L,W,L,1829
Mark Reyes Jr,2.399,welter,24,14 0 0,orthodox,"Tampa, USA",1831,2,W,W,W,W,W,W,1830
Xavier Kohlen,2.398,super welter,28,8 0 0,,"Sittard, Netherlands",1832,2,W,W,W,W,W,W,1831
Moises Calleros,2.397,fly,31,33 10 1,orthodox,"Monterrey, Mexico",1833,2,W,W,W,W,W,L,1832
Timur Nikarkhoev*,2.397,light heavy,27,22 3 0,orthodox,Belgium,1834,2,W,W,W,W,L,W,1833
John Michael Zulueta,2.394,light fly,25,11 0 2,orthodox,"La Trinidad, Philippines",1835,2,W,W,W,W,W,W,1834
James McKenzie Morrison,2.391,heavy,30,17 0 2,orthodox,"Shawnee, USA",1836,2,W,W,W,W,W,W,1835
Daisuke Sugita,2.390,super bantam,32,6 1 0,orthodox,Japan,1837,2,W,W,W,L,W,W,1836
Steve Vukosa,2.388,heavy,43,13 1 0,,"Quincy, USA",1838,2,W,W,L,W,W,W,1837
Carlos Licona,2.384,fly,25,15 1 0,orthodox,"Westminster, USA",1839,2,W,W,W,W,L,W,1838
Dario German Balmaceda,2.383,cruiser,36,19 19 2,orthodox,"Vicuna Mackenna, Argentina",1840,2,W,W,W,W,L,L,1839
Steve Jamoye,2.382,welter,29,26 8 2,orthodox,"Herstal, Belgium",1841,2,D,L,W,L,W,L,1840
Jose Santos Gonzalez,2.381,feather,30,23 8 1,orthodox,"Guadalajara, Mexico",1842,2,W,L,L,L,D,L,1841
Angel Rodriguez*,2.381,feather,33,18 1 0,orthodox,"Tijuana, Mexico",1843,2,W,W,W,W,W,W,1842
Jack Asis,2.380,super feather,37,38 23 5,orthodox,"Toowoomba, Australia",1844,2,W,W,W,L,L,L,1843
Carlo Demecillo,2.379,bantam,24,15 5 1,orthodox,"Cebu City, Philippines",1845,2,W,D,W,W,W,W,1844
Edwin de los Santos*,2.379,light,21,7 0 0,southpaw,Dominican Republic,1846,2,W,W,W,W,W,W,1845
Marco Antonio Periban,2.377,super middle,36,25 5 1,orthodox,"Mexico City, Mexico",1847,2,W,W,W,W,L,L,1846
Edward Vazquez,2.377,feather,25,9 0 0,orthodox,"Fort Worth, USA",1848,2,W,W,W,W,W,W,1847
Ronal Batista,2.376,super fly,23,12 2 0,orthodox,"Panama City, Panama",1849,2,W,W,W,W,W,L,1848
Miles Zalewski,2.375,light,,7 1 0,orthodox,"Brisbane, Australia",1850,2,W,W,W,L,W,W,1849
Mazlum Akdeniz,2.375,super light,23,11 0 0,southpaw,"Montreal, Canada",1851,2,W,W,W,W,W,W,1850
Jose Luis Rodriguez*,2.374,super light,34,25 13 1,orthodox,"Monterrey, Mexico",1852,2,W,L,W,W,D,L,1851
Adan Silvera,2.374,super middle,35,11 2 0,orthodox,"La Laguna, Spain",1853,2,W,W,L,W,W,L,1852
Gohan Rodriguez Garcia,2.372,fly,20,7 1 1,,"Gomez Palacio, Mexico",1854,2,W,W,W,W,D,W,1853
Loyiso Ngantweni,2.369,minimum,,9 15 5,,"Soweto, South Africa",1855,2,W,W,L,W,W,L,1854
Samuel Nmomah*,2.369,super welter,23,13 0 0,orthodox,"Novara, Italy",1856,2,W,W,W,W,W,W,1855
Ryo Hino,2.369,feather,30,13 2 2,southpaw,"Kawasaki, Japan",1857,2,W,W,D,W,W,L,1856
Josue Castaneda Perez,2.368,super middle,33,14 13 3,,"Gomez Palacio, Mexico",1858,2,L,W,W,L,D,L,1857
Joshua Clottey,2.367,middle,43,41 5 0,orthodox,"Bronx, USA",1859,2,W,W,W,L,W,W,1858
Magomed Kurbanov,2.365,super bantam,30,6 0 1,orthodox,"Saint Petersburg, Russia",1860,2,W,W,W,W,W,D,1859
Marvin Cabrera,2.365,super welter,27,10 1 0,southpaw,"Los Angeles, USA",1861,2,W,W,W,L,W,W,1860
Koki Tyson,2.357,middle,27,14 4 3,southpaw,Japan,1862,2,W,W,L,W,D,L,1861
Luciano Francisco Baldor,2.357,bantam,26,16 2 0,orthodox,"Burzaco, Argentina",1863,2,W,W,W,W,W,W,1862
Mladen Miljas*,2.356,heavy,28,12 0 0,orthodox,"Mississauga, Canada",1864,2,W,W,W,W,W,W,1863
Asinia Byfield*,2.355,super welter,31,14 3 1,orthodox,"Reading, United Kingdom",1865,2,W,W,W,L,L,D,1864
Eduardo Estela,2.354,super feather,30,10 1 0,orthodox,"Montevideo, Uruguay",1866,2,W,W,W,W,W,L,1865
Masahiro Suzuki*,2.353,light,25,4 0 0,orthodox,Japan,1867,2,Blank,Blank,W,W,W,W,1866
Walter Wright,2.353,super welter,39,17 8 0,orthodox,"Seattle, USA",1868,2,W,W,L,L,L,L,1867
Timur Kerefov,2.353,middle,30,9 0 0,orthodox,"Detroit, USA",1869,2,W,W,W,W,W,W,1868
Dzemal Bosnjak,2.349,cruiser,35,4 3 0,southpaw,"Sarajevo, Bosnia And Herzegovina",1870,2,W,W,W,L,L,L,1869
Robin Zamora*,2.348,light,22,16 7 0,southpaw,"Tarrasa, Spain",1871,2,L,L,W,L,W,W,1870
Esteban Bermudez Salas,2.345,light fly,25,12 3 1,,"Nezahualcóyotl, Mexico",1872,2,L,L,W,W,W,L,1871
Johan Gonzalez*,2.339,super welter,29,24 1 0,orthodox,"Panama City, Panama",1873,2,W,W,W,L,W,W,1872
Stephen Ormond,2.337,light,37,27 6 0,orthodox,"Dublin, Ireland",1874,2,L,L,W,W,W,L,1873
Emanuele Blandamura,2.336,middle,40,29 4 0,orthodox,"Roma, Italy",1875,2,W,W,L,W,W,L,1874
Liam Wells,2.335,welter,25,7 1 0,orthodox,"Rainham, United Kingdom",1876,2,W,W,W,L,W,W,1875
Bangile Nyangani,2.335,minimum,,10 1 1,,"Mthatha, South Africa",1877,2,W,W,W,D,W,W,1876
Alain Christian Sangue,2.333,light,20,11 4 1,,"Tours, France",1878,2,L,W,W,W,W,L,1877
Marco Antonio Juarez Rodriguez,2.333,light,26,10 6 3,orthodox,"Rosarito, Mexico",1879,2,D,D,L,W,W,L,1878
Cristian Bielma,2.331,light,27,15 3 1,orthodox,"Mexicali, Mexico",1880,2,W,W,L,W,W,D,1879
Seiryu Toshikawa,2.326,light,24,13 5 0,orthodox,"Yokohama, Japan",1881,2,W,W,L,W,W,W,1880
Xhek Paskali,2.324,super middle,30,5 0 1,orthodox,"Stuttgart, Germany",1882,2,W,W,W,W,W,D,1881
Abderrazak Houya,2.324,super light,33,14 3 0,orthodox,"Courbevoie, France",1883,2,W,W,W,W,L,L,1882
Rodrigo Labre,2.320,welter,29,6 4 0,,"Yuncos, Spain",1884,2,L,W,L,W,W,W,1883
Tyler McCreary,2.320,feather,27,16 1 1,,"Toledo, USA",1885,2,W,W,W,D,W,L,1884
Edin Puhalo,2.319,cruiser,32,19 1 0,,"Sarajevo, Bosnia And Herzegovina",1886,2,W,W,W,W,W,L,1885
Martino Jules,2.319,feather,23,10 0 0,southpaw,"Allentown, USA",1887,2,W,W,W,W,W,W,1886
Ve Shawn Owens,2.317,super welter,29,11 2 0,orthodox,"Minneapolis, USA",1888,2,W,W,L,L,W,W,1887
Orlando Penalba,2.313,super fly,27,10 0 0,orthodox,"Panama City, Panama",1889,2,W,W,W,W,W,W,1888
Edward Jeramie Ortiz,2.310,middle,29,11 1 2,orthodox,"San Antonio, USA",1890,2,W,W,W,W,W,L,1889
Howard Cospolite,2.309,super welter,37,18 8 3,,"Saint-Ouen, France",1891,2,W,W,D,L,W,L,1890
Luke Woods,2.307,welter,28,6 3 0,southpaw,"Latrobe, Australia",1892,2,W,L,W,L,W,L,1891
Darren Surtees,2.306,super light,26,12 1 0,orthodox,"Thornley, United Kingdom",1893,2,W,W,W,W,W,L,1892
Youssef Dib*,2.305,super light,28,14 0 0,,"Sydney, Australia",1894,2,W,W,W,W,W,W,1893
Kevin Higson,2.300,super welter,31,18 2 0,,"Hamilton, Canada",1895,2,W,L,W,W,W,W,1894
Abner Lopez,2.300,welter,30,27 10 1,orthodox,"Tijuana, Mexico",1896,2,L,L,W,W,D,L,1895
Sam O'maison,2.299,super light,29,16 3 1,southpaw,"Sheffield, United Kingdom",1897,2,W,L,W,W,D,L,1896
Mikkel Nielsen,2.299,welter,31,9 2 0,orthodox,"Odense, Denmark",1898,2,W,W,W,L,L,W,1897
Joseph Agbeko,2.298,bantam,43,37 5 0,orthodox,"Bronx, USA",1899,2,W,W,W,W,W,W,1898
Magomed Magomedov,2.294,super middle,24,3 0 0,southpaw,"Khasavyurt, Russia",1900,2,Blank,Blank,Blank,W,W,W,1899
Ihor Magurin,2.293,super feather,29,12 0 1,orthodox,"Enerhodar, Ukraine",1901,2,W,W,W,W,W,W,1900
Anthony Moloisane,2.291,light,29,13 5 1,southpaw,"Bloemfontein, South Africa",1902,2,L,W,L,L,W,W,1901
Genc Pllana,2.291,super middle,26,8 3 1,orthodox,"Hagerstown, USA",1903,2,W,W,D,W,L,L,1902
Irvin Gonzalez,2.290,feather,24,14 3 0,orthodox,"Worcester, USA",1904,2,W,L,L,W,W,L,1903
Dylan Colin,2.285,light heavy,27,7 0 0,orthodox,"Dombasle-sur-Meurthe, France",1905,2,W,W,W,W,W,W,1904
Ryuto Oho,2.278,light fly,26,12 5 1,orthodox,"Yokohama, Japan",1906,2,L,L,W,W,W,L,1905
Karim Achour,2.276,middle,33,27 6 3,orthodox,"Pont-Sainte-Maxence, France",1907,2,W,W,W,L,W,L,1906
Rafik Harutjunjan,2.273,super light,32,13 3 1,orthodox,"Den Bosch, Netherlands",1908,2,L,W,W,L,W,D,1907
Yuto Nakamura*,2.271,super fly,23,11 5 1,orthodox,"Suzuka, Japan",1909,2,L,W,W,W,W,D,1908
Maksym Bursak,2.271,super middle,36,37 6 2,orthodox,"Kiev, Ukraine",1910,2,W,D,W,L,W,W,1909
Jin Miura*,2.271,feather,26,11 3 4,orthodox,Japan,1911,2,W,D,D,D,D,W,1910
Yerni Betancourt,2.269,super bantam,,18 0 0,,Venezuela,1912,2,W,W,W,W,W,W,1911
Frency Fortunato Saya,2.263,feather,22,10 0 0,,"Fort Lauderdale, USA",1913,2,W,W,W,W,W,W,1912
Laszlo Toth,2.261,middle,32,29 5 2,orthodox,"Sopron, Hungary",1914,2,W,W,L,W,D,W,1913
Moises Flores,2.260,super bantam,34,25 3 0,orthodox,"Guadalajara, Mexico",1915,2,W,W,NC,L,L,L,1914
